,관광지명,소재지도로명주소,위도,경도,시도명
665,구문소 관광지,강원특별자치도 태백시 동태백로11(동점동),37.09296812,129.0422636,강원특별자치도
666,연희네슈퍼(영화 1987 촬영지),전라남도 목포시 해안로 127번길 14-2,34.78174519,126.3773176,전라남도
667,춤추는 바다분수,전라남도 목포시 평화로 82,34.79666213,126.4337909,전라남도
668,목포해상케이블카,전라남도 목포시 해양대학로 240,34.79940179,126.3700239,전라남도
669,삼학도크루즈,전라남도 목포시 삼학로 92번길 104,34.78101571,126.387931,전라남도
670,김대중노벨평화상기념관,전라남도 목포시 삼학로 92번길 68,34.78285177,126.3922506,전라남도
671,목포자연사박물관,전라남도 목포시 남농로 135,34.79372717,126.4210674,전라남도
672,갓바위,전라남도 목포시 남농로 135,34.79372717,126.4210674,전라남도
673,은파관광지,전라북도 군산시 은파순환길9 (나운동),35.95536227,126.6890748,전북특별자치도
674,금강호관광지,전라북도 군산시 성산면 철새로 120,36.01987856,126.7653058,전북특별자치도
675,최참판댁,경상남도 하동군 악양면 평사리길 66-7,35.15590905,127.688408,경상남도
676,화개장터,경상남도 하동군 화개면 쌍계로 15,35.18798946,127.6240666,경상남도
677,삼성궁,경상남도 하동군 청암면 삼성궁길 2,35.23870093,127.7054288,경상남도
678,이병주문학관,경상남도 하동군 북천면 이명골길 14-28,35.09720238,127.8942256,경상남도
679,하동레일파크,경상남도 하동군 북천면 경서대로 2446-6,35.11333681,127.8929765,경상남도
680,지리산역사관,경상남도 하동군 화개면 화개로 1438,35.2896912,127.646527,경상남도
681,하동코리아짚와이어,경상남도 하동군 금남면 경충로 493-9,34.98260917,127.894714,경상남도
682,하동 플라이웨이 케이블카,경상남도 하동군 금남면 경충로 461-7,34.98083847,127.8952769,경상남도
683,선바위관광지,경상북도 영양군 입암면 영양로 883-16,36.60854407,129.0820141,경상북도
684,고씨굴 관광지,강원도 영월군 김삿갓면 영월동로 1111,37.13117779,128.5352623,강원특별자치도
685,괴강,충청북도 괴산군 괴산읍 충민로검승3길 10,36.80676203,127.8252917,충청북도
686,수옥정,"충청북도 괴산군 연풍면 수옥정길 174, 수옥정관광지관리사무소",36.81361722,128.036232,충청북도
687,칠백의총,nan,36.13145413,127.4923212,nan
688,태고사,충청남도 금산군 진산면 청림동로 440,36.13440357,127.3251004,충청남도
689,개삼터,충청남도 금산군 남이면 개삼로 101,36.07533917,127.4783939,충청남도
690,태조대왕태실,nan,36.19976177,127.4543633,nan
691,보석사,충청남도 금산군 남이면 보석사1길 30,36.054757,127.4753969,충청남도
692,보석사   은행나무,충청남도 금산군 남이면 보석사1길 30,36.054757,127.4753969,충청남도
693,천안종합휴양관광지,충청남도 천안시 동남구 성남면 종합휴양지로 200,36.75731215,127.2240961,충청남도
694,태조산관광지,충청남도 천안시 동남구 태조산길 261,36.82207666,127.1889559,충청남도
695,석정온천관광지,전라북도 고창군 고창읍 석정2로 173,35.43111098,126.7405968,전북특별자치도
