,사업장명,도로명전체주소,좌표정보(x),좌표정보(y),시도명
48,트리플꿈,"서울특별시 서초구 남부순환로339길 60, 3층 B27호 (서초동)",201848.823344626,442614.350799967,서울특별시
49,(주)티앤제이여행사사,"서울특별시 종로구 종로3길 38, 509호 (청진동, 진학회관)",198120.637972874,452198.433879026,서울특별시
50,(주)아이엠투어,"서울특별시 종로구 새문안로5길 19  (당주동,로얄빌딩 12층)",197662.503910553,452189.09236786,서울특별시
51,위에듀케이션(주),"서울특별시 종로구 김상옥로 18  (연지동,세원빌딩 5층)",199901.319,452314.786666666,서울특별시
52,코마망,"서울특별시 서초구 남부순환로339길 60, 4층 A15호 (서초동)",201848.823344626,442614.350799967,서울특별시
53,GTG한국의료관광,"서울특별시 서초구 강남대로107길 21, 2층 (잠원동, 대능빌딩)",201483.408349862,446180.260965954,서울특별시
54,주식회사 골프앤투어,"서울특별시 서초구 서초중앙로 26, 324호 (서초동)",201430.900026124,442500.630366001,서울특별시
55,(주)VAI투어,"서울특별시 종로구 새문안로 91, 1211호 (신문로1가, 고려빌딩)",197700.034013631,452022.503467072,서울특별시
56,(주)동아항공여행사,"서울특별시 중구 세종대로9길 53  (서소문동,통운빌딩 10층)",197531.497488927,451068.82589543,서울특별시
57,(주)지티비,"서울특별시 중구 남대문로10길 9, 801호 (삼각동, 경기빌딩)",198448.848428937,451658.304454683,서울특별시
58,유엔차이나(주),"서울특별시 중구 다동길 5  (무교동,광일빌딩)",198137.354306134,451759.123871901,서울특별시
59,주식회사 헬로트래블,"서울특별시 종로구 사직로 68, 2층 (사직동)",197026.596585695,452422.331054691,서울특별시
60,(주)아반티코리아투어,"서울특별시 종로구 삼봉로 81, 920호 (수송동, 두산위브파빌리온)",198324.653631679,452252.812389497,서울특별시
61,(주)더즌스타,"서울특별시 중구 퇴계로20나길 10, 501호 (남산동2가, 신화빌딩)",198651.46452077,450718.885269002,서울특별시
62,(주)비아마리타임,"서울특별시 종로구 사직로8길 24, 오피스텔1218호 (내수동, 경희궁의아침2단지)",197393.747563185,452408.438228843,서울특별시
63,(주)국가대표여행가,"서울특별시 중구 무교로 15,  805호 (무교동,남강빌딩)",198068.059896866,451666.732613608,서울특별시
64,(주)월드투어샵,"서울특별시 중구 서소문로 99  (서소문동,한영빌딩 3층)",197470.535483079,451184.591163055,서울특별시
66,루디아투어,"서울특별시 종로구 창경궁로 287, 내제301호 (혜화동, 금환빌딩)",200097.395492413,453820.002979196,서울특별시
67,(주)로켓글로벌,"서울특별시 중구 퇴계로 97, 고려대연각센터빌딩 606-1호 (충무로1가)",198388.365585519,450963.241815173,서울특별시
68,(주)지티여행사,"서울특별시 중구 마른내로 161-3  (광희동1가,3층)",200466.694980292,451383.224181261,서울특별시
69,(주)네트웍여행사,"서울특별시 종로구 청계천로 55,  801호 (관철동,대신빌딩)",198502.872319959,451859.966105804,서울특별시
70,(주)이데아코리아,"서울특별시 서초구 서초대로77길 62 (서초동, 강남역 IPARK)",202044.629093538,444504.112782023,서울특별시
71,(주)초이스투어,"서울특별시 종로구 새문안로3길 36,  808호 (내수동,용비어천가)",197567.747824202,452347.973860449,서울특별시
72,(주)아태국제문화중심,"서울특별시 중구 서소문로 18, 302호 (중림동, 메트로빌딩)",196772.112495741,450782.814035786,서울특별시
73,(주)알찬여행[결번],"서울특별시 종로구 사직로8길 42,  1002호 (내수동,광화문시대)",197559.791065754,452388.315239125,서울특별시
74,(주)조아조아네트웍스,"서울특별시 서초구 반포대로30길 81, 11층 1148호 (서초동)",201068.542900042,443409.058378452,서울특별시
75,클래식투어코리아 주식회사,"서울특별시 중구 을지로44길 10, 4층 505호 (광희동1가)",200498.497456559,451494.706799835,서울특별시
76,(주)케이엔글로벌,"서울특별시 중구 남대문로 117 (다동,동아빌딩 11층)",198367.639004526,451720.217970577,서울특별시
77,(주)케이아이투어,"서울특별시 중구 남대문로5길 47 (북창동,삼흥빌딩 1003호)",198044.665371237,451236.63468171,서울특별시
78,고려여행사(주),"서울특별시 중구 서소문로 101  (서소문동,동화빌딩 5층)",197492.659472589,451177.629381773,서울특별시
79,(주)크라운생활과학,"서울특별시 중구 퇴계로18길 10 (남산동1가,호경빌딩 306호)",198616.324768674,450904.337143153,서울특별시
80,(주)에스엘마린앤투어,"서울특별시 종로구 새문안로3길 7, 402호 (신문로1가,한글회관)",197487.622049589,452071.534763593,서울특별시
81,(주)에스제이나인스코퍼레이션,"서울특별시 서초구 서운로 11, 서초대우디오빌 R620호 (서초동)",202511.405143886,442532.881759045,서울특별시
82,(주)엠케이코리아,"서울특별시 서초구 방배천로24길 11, 9층 (방배동, 명림빌딩)",198527.865526023,442532.456805302,서울특별시
83,(주)거성교역,"서울특별시 종로구 사직로8길 34, 606호 (내수동, 경희궁의아침3단지 )",197465.223921125,452366.613899898,서울특별시
84,엘림스트레블(주),"서울특별시 종로구 종로46길 23, 2층 에이202호 (창신동, 덕국빌딩)",200870.996471817,452019.837475632,서울특별시
85,(주)마블항공여행사,"서울특별시 종로구 새문안로3길 30, 604-2호 (내수동, 대우빌딩)",197567.93800572,452276.454633376,서울특별시
86,(주)에스오티에이,"서울특별시 종로구 종로3길 38, 807호 (청진동, 진학회관)",198120.637972874,452198.433879026,서울특별시
87,주식회사 투어나우,"서울특별시 서초구 신반포로45길 50-2, 2층 (잠원동, 경원빌딩)",201504.667992991,445568.474116976,서울특별시
88,스마트투어마켓 주식회사,"서울특별시 종로구 인사동5길 25, 703호 (인사동, 하나로빌딩)",198643.543485167,452199.798612424,서울특별시
89,아세아관광개발,"서울특별시 중구 삼일대로 299,  309호 (충무로2가,성창빌딩)",198911.806393959,451032.316115194,서울특별시
90,(주)로고스피아이티,"서울특별시 종로구 대학로10길 17, 1층 14-1, 15-1호 (동숭동, 동숭동복합건물)",200211.341833282,453309.498946546,서울특별시
91,(주)라오컴,"서울특별시 종로구 종로 19, 632호 (종로1가, 르메이에르종로타운)",198150.300374121,452019.212642931,서울특별시
92,(주)투어닷코리아,"서울특별시 중구 남대문로9길 12  (다동,라전빌딩 503-에이호)",198319.007190038,451622.506327407,서울특별시
93,(주)경남관광여행사,"서울특별시 중구 무교로 28 (무교동,시그너스빌딩 2층)",198127.72801526,451800.726494393,서울특별시
94,(주)오션블루트레블,"서울특별시 중구 을지로 148, 중앙데코프라자 1305호 (을지로3가)",199448.102922035,451548.668257947,서울특별시
95,주식회사 에스티씨코리아,"서울특별시 서초구 서초대로74길 23, 704호 (서초동)",202326.145704288,443714.177835024,서울특별시
96,(주)천우국제여행사,"서울특별시 중구 남대문로7길 11, 801-1호 (소공동, 태양빌딩)",198274.209368138,451268.05553169,서울특별시
97,닥스메디컬코리아(주),"서울특별시 서초구 서초대로 3-4, B동 702호 (방배동, 방배디오슈페리움1차)",198432.354182494,442643.16392201,서울특별시
99,(주)투어포인트,"서울특별시 중구 다동길 30, 813호 (다동,삼덕빌딩)",198247.002425102,451706.579909196,서울특별시
100,스타피언(주),"서울특별시 중구 무교로 28,  902호 (무교동,시그너스빌딩)",198127.72801526,451800.726494393,서울특별시
101,(주)크라운투어,"서울특별시 서초구 방배로 89, 3층 (방배동)",199643.692624093,442231.961059155,서울특별시
102,(주)서울레이더,"서울특별시 서초구 서초대로 307, 501호 (서초동, 장안빌딩)",201267.726324912,443579.007559631,서울특별시
103,마노,"서울특별시 서초구 나루터로 59, 4층 (잠원동)",201385.759942087,445902.261679056,서울특별시
104,인사이드투어 주식회사,"서울특별시 서초구 방배로39길 42, 지하1층층 (방배동, IMI빌딩)",198757.071608429,443558.845918538,서울특별시
105,코스모블리스주식회사,"서울특별시 서초구 양재천로31길 21, 6층 (양재동)",203653.358295255,442054.320175995,서울특별시
107,(주)케이피지엔뉴스,"서울특별시 서초구 서초대로30길 18-4 (방배동,1층)",199580.147461031,442814.819998678,서울특별시
108,(주)유아이비,"서울특별시 서초구 서초중앙로5길 10-8, 209호 (서초동,우성쁘띠오피스텔)",201270.012577683,442622.709265401,서울특별시
109,(주)끄레폴리오,"서울특별시 서초구 서초중앙로 43, 15층 (서초동, 로얄타워)",201308.002274353,442594.050618226,서울특별시
