광역지자체명,광역지자체 방문자 수
강원특별자치도,515224854.0
경기도,3020738856.0
경상남도,773693564.0
경상북도,697219163.0
광주광역시,322580288.0
대구광역시,539153470.0
대전광역시,345478572.0
부산광역시,704849446.0
서울특별시,2266250211.0
세종특별자치시,94677510.0
울산광역시,255222117.0
인천광역시,664406592.0
전라남도,493198443.0
전북특별자치도,467912307.0
제주특별자치도,267559642.0
충청남도,561799550.0
충청북도,408002426.0
